ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
19364,I am a developer by profession,"Independent contractor, freelancer, or self-employed;Employed, part-time","Hybrid (some remote, some in-person)",Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Hackathons (virtual or in-person)","Technical documentation;Blogs;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial",Coursera;Udemy;Pluralsight;Udacity;Other,7,3,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end;Educator;Data or business analyst",100 to 499 employees,I have some influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,India,INR	Indian rupee,900000.0,Monthly,Haskell;HTML/CSS;JavaScript;PowerShell;Python;SQL,HTML/CSS;JavaScript;Julia;Python;R;Rust;Scala;SQL;TypeScript,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Firebase Realtime Database;SQLite,AWS;DigitalOcean;Google Cloud;Heroku;Microsoft Azure,DigitalOcean;Firebase;Google Cloud;Heroku;Linode;Microsoft Azure,Django;Express;FastAPI;Flask;Next.js;Node.js;React.js,Django;FastAPI;Flask;React.js,Keras;NumPy;Pandas;Qt;React Native;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Docker;npm;Yarn,Docker;npm;Terraform;Yarn,Sublime Text;Visual Studio Code;Xcode,RStudio;Sublime Text;Visual Studio Code;Xcode,Linux-based;macOS;Windows,macOS,Git,Code editor;Command-line;Version control hosting service web GUI,,,Microsoft Planner;Microsoft Lists;Notion,Microsoft Planner;Microsoft Lists;Notion,Google Chat;Microsoft Teams;Slack;Zoom,,Favorable,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",18-24 years old,Man,No,Straight / Heterosexual,Indian,None of the above,None of the above,Yes,Independent contributor,5.0,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,1-2 times a week,3-5 times a week,3-5 times a week,Over 120 minutes a day,30-60 minutes a day,Somewhat long,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,No,Yes,Too long,Difficult,139284.0
19373,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Certification videos,Coursera;edX,12,5,"Data scientist or machine learning specialist;Engineer, data;Data or business analyst",10 to 19 employees,I have little or no influence,Start a free trial,Greece,EUR European Euro,20000.0,Yearly,Python,Python,,,,,,,Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch,Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch,,,IPython/Jupyter;Notepad++;RStudio;Spyder,IPython/Jupyter;Notepad++;RStudio;Spyder,Linux-based,Linux-based,Git,Command-line,,,,,Mattermost;Microsoft Teams;Slack;Zoom,Mattermost;Microsoft Teams;Slack;Zoom,Favorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",35-44 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,21329.0
19413,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Colleague","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Online challenges (e.g., daily or weekly coding challenges)",,16,16,"Data scientist or machine learning specialist;Engineer, data;Other (please specify):",2 to 9 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,United States of America,USD	United States dollar,130000.0,Yearly,C++;Julia;Rust,Julia;Rust,,,,,,,,,,,Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,Linux-based;Windows,macOS,Git,Command-line,,,,,Slack;Zoom,Slack;Zoom,Unsure,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White;European;North American,None of the above,None of the above,Yes,Independent contributor,23.0,Neither agree nor disagree,,,,,,,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,15-30 minutes a day,,,Yes,Yes,Yes,Appropriate in length,Easy,130000.0
19419,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;School or academic work,"Professional degree (JD, MD, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Stack Overflow;Online books;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Coding sessions (live or recorded)",Other,5,Less than 1 year,Data scientist or machine learning specialist,20 to 99 employees,I have little or no influence,Other (please specify):;Visit developer communities like Stack Overflow;Ask developers I know/work with,Chile,CLP	Chilean peso,1000000.0,Monthly,Bash/Shell;C;MATLAB;PowerShell;Python;VBA,Bash/Shell;C;MATLAB;PowerShell;Python,MySQL;Neo4j,DynamoDB,AWS,AWS,,,NumPy;Pandas;Scikit-learn;Torch/PyTorch,Apache Spark;Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Docker,Docker,Emacs;IPython/Jupyter;Notepad++,IPython/Jupyter;Notepad++,Linux-based;Windows,Linux-based;Windows,Git,Command-line,,,Jira Work Management;Notion,Notion,,,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,18-24 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a;South American;Indigenous (such as Native American or Indigenous Australian),None of the above,None of the above,Yes,Independent contributor,0.0,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,Less than 15 minutes a day,Somewhat long,Innersource initiative;DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Observability tools,Yes,No,Yes,Too long,Difficult,14460.0
19424,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time;Employed, part-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum)",Technical documentation;Stack Overflow;Video-based Online Courses;How-to videos;Written-based Online Courses,,15,10,"Data scientist or machine learning specialist;Developer, back-end;Cloud infrastructure engineer;Data or business analyst;Designer",500 to 999 employees,I have a great deal of influence,Start a free trial,Germany,EUR European Euro,50000.0,Yearly,C#;C++;JavaScript;Kotlin;LISP;PowerShell;Python;SQL;VBA,,Microsoft SQL Server;MySQL;Oracle;SQLite,,Firebase;Google Cloud;Microsoft Azure,,ASP.NET Core ;Express,,.NET;NumPy;Pandas,,,,Android Studio;IntelliJ;PyCharm;Rider,,,Windows,Git,Command-line;Dedicated version control GUI application,,,,,Microsoft Teams;Slack,,Very favorable,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"No, not at all",35-44 years old,"Or, in your own words:","Or, in your own words:",Prefer to self-describe:,"Or, in your own words:",None of the above,"Or, in your own words:",Yes,Independent contributor,16.0,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,1-2 times a week,3-5 times a week,Never,30-60 minutes a day,Less than 15 minutes a day,Just right,None of these,Yes,Yes,Yes,Appropriate in length,Neither easy nor difficult,53322.0
19464,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","School (i.e., University, College, etc)",,,5,Less than 1 year,Data scientist or machine learning specialist;Academic researcher,"10,000 or more employees",I have little or no influence,Visit developer communities like Stack Overflow;Ask developers I know/work with,India,INR	Indian rupee,2800000.0,Yearly,Python,Python,,,,,,,Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,,,Visual Studio Code,Visual Studio Code,macOS,macOS,Git,Code editor;Command-line,,,Notion,Notion,Microsoft Teams,Microsoft Teams,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,Indian,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,36112.0
19468,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Other doctoral degree (Ph.D., Ed.D., etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague;Other (please specify):",Technical documentation;Written Tutorials;Stack Overflow;Online forum,,10,4,Data scientist or machine learning specialist;Academic researcher,"5,000 to 9,999 employees",I have some influence,Start a free trial;Ask developers I know/work with,United States of America,USD	United States dollar,87000.0,Yearly,Bash/Shell;Python;R;SQL,JavaScript;Julia;Python;Rust,MariaDB;MySQL,,,,,,NumPy;Pandas;Tidyverse,,Docker,Docker,PyCharm;RStudio;Vim,Webstorm,Linux-based;macOS,macOS,Git,Command-line,,,ClickUp;Smartsheet,ClickUp,Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,No,,Not sure,35-44 years old,Woman,No,Straight / Heterosexual,White,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,87000.0
19479,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Hackathons (virtual or in-person)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded)",Udemy;Codecademy;Pluralsight,6,3,"Data scientist or machine learning specialist;Developer, desktop or enterprise applications;Developer, embedded applications or devices",500 to 999 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,47000.0,Yearly,Bash/Shell;C;C++;JavaScript;PowerShell;Python;Rust;SQL,Bash/Shell;C;C++;Go;JavaScript;Python;Rust;SQL,MongoDB;MySQL;PostgreSQL;SQLite,DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;SQLite,VMware,AWS;DigitalOcean;Google Cloud;IBM Cloud or Watson;Microsoft Azure;Oracle Cloud Infrastructure;VMware,Flask;Node.js,Flask;Node.js,.NET;GTK;Keras;NumPy;Pandas;Qt;Scikit-learn;TensorFlow;Torch/PyTorch,.NET;Electron;Flutter;GTK;Keras;NumPy;Pandas;Qt;React Native;Scikit-learn;TensorFlow;Torch/PyTorch;Xamarin,Docker;npm,Docker;Kubernetes;npm;Unity 3D;Unreal Engine,Visual Studio;Visual Studio Code,PyCharm;Visual Studio;Visual Studio Code,Linux-based;Windows;Windows Subsystem for Linux (WSL),Linux-based;Windows;Windows Subsystem for Linux (WSL),Git;Mercurial,Code editor;Command-line;Version control hosting service web GUI,,,,,Cisco Webex Teams;Mattermost;Microsoft Teams;Slack;Zoom,Mattermost;Microsoft Teams;Slack,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,3.0,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,1-2 times a week,6-10 times a week,3-5 times a week,30-60 minutes a day,30-60 minutes a day,Just right,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Easy,59050.0
19508,I am a developer by profession,"Employed, full-time",Full in-person,I don’t code outside of work,"Other doctoral degree (Ph.D., Ed.D., etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Colleague",Technical documentation;Blogs;Written Tutorials;How-to videos;Written-based Online Courses;Coding sessions (live or recorded),Coursera,15,5,"Data scientist or machine learning specialist;Engineer, data;Developer, mobile;Scientist","10,000 or more employees",I have some influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,France,EUR European Euro,65000.0,Yearly,Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;Python;TypeScript,C;C++;Julia;Python;Rust,MongoDB;SQLite,MongoDB;SQLite,,,Angular;Flask,Angular;Flask,NumPy;Pandas;TensorFlow,NumPy;Pandas;TensorFlow;Torch/PyTorch,,,Android Studio;CLion;IPython/Jupyter;PyCharm;Vim;Visual Studio Code;Webstorm,Android Studio;CLion;IPython/Jupyter;PyCharm;Vim;Webstorm,Linux-based;macOS,Linux-based;Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Notion;Trello,Notion,Microsoft Teams,,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,Yes,,5.0,Disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,1-2 times a week,1-2 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,Just right,None of these,No,Yes,Yes,Too long,Neither easy nor difficult,69318.0
19573,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges)",,7,5,Data scientist or machine learning specialist;Engineering manager,20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,USD	United States dollar,180.0,Yearly,Python;R;SQL,Python;SQL,PostgreSQL,MongoDB,AWS,AWS,FastAPI,FastAPI,,,Docker,Docker;npm;Terraform,IPython/Jupyter;RStudio;Visual Studio Code,Visual Studio Code,Linux-based,macOS,Git,Code editor;Command-line;Version control hosting service web GUI,,,Jira Work Management;Stack Overflow for Teams,Confluence;Jira Work Management;Stack Overflow for Teams,Slack;Zoom,Slack;Zoom,Unfavorable,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"No, not really",25-34 years old,Woman,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Yes,People manager,7.0,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,1-2 times a week,6-10 times a week,1-2 times a week,Less than 15 minutes a day,30-60 minutes a day,Somewhat long,DevOps function;Microservices;Automated testing,Yes,Yes,Yes,Appropriate in length,Easy,180.0
19576,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague;Hackathons (virtual or in-person)","Technical documentation;Blogs;Programming Games;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos",,15,10,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Developer, QA or test;Data or business analyst","1,000 to 4,999 employees",I have some influence,Start a free trial;Ask developers I know/work with,Sweden,SEK	Swedish krona,43000.0,Monthly,C#;Lua;Python;SQL,Python;SQL,MariaDB;Microsoft SQL Server;MongoDB,Microsoft SQL Server,Google Cloud,Google Cloud;Microsoft Azure,Flask,,.NET;Apache Kafka;Hadoop;Pandas,,Docker;Kubernetes;Unity 3D;Unreal Engine,Docker;Kubernetes;Unity 3D;Unreal Engine,Sublime Text;Visual Studio Code,Visual Studio Code,Windows,Windows,Git,Dedicated version control GUI application,,,,,Microsoft Teams,Microsoft Teams,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,European,None of the above,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Yes,Independent contributor,10.0,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,3-5 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,30-60 minutes a day,Somewhat long,Automated testing;Observability tools,No,Yes,Yes,Appropriate in length,Easy,52416.0
19610,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);On the job training;Hackathons (virtual or in-person)",Technical documentation;Blogs;Stack Overflow;How-to videos,,8,6,"Data scientist or machine learning specialist;Engineer, data","1,000 to 4,999 employees",I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,USD	United States dollar,145000.0,Yearly,Bash/Shell;Python;R;SAS;SQL,Bash/Shell;Python;R;SQL,PostgreSQL,Firebase Realtime Database,AWS,AWS,,,NumPy;Pandas;Scikit-learn;Tidyverse,NumPy;Pandas;Tidyverse,,,Visual Studio Code,Visual Studio Code,Linux-based;macOS,Linux-based;macOS,Git,Code editor;Command-line,,,Jira Work Management,Jira Work Management,Slack;Zoom,Slack;Zoom,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,,,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,145000.0
19632,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Programming Games;Stack Overflow;Online books;Online forum,Coursera,13,5,Data scientist or machine learning specialist;Academic researcher,"1,000 to 4,999 employees",I have little or no influence,Other (please specify):;Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Belgium,EUR European Euro,41000.0,Yearly,Python,C;Julia;Python;Rust,Cassandra;DynamoDB;PostgreSQL,Cassandra;PostgreSQL,AWS,AWS,,,NumPy;Pandas;Scikit-learn;TensorFlow,NumPy;Pandas;Scikit-learn;TensorFlow,,,Vim,Vim,Linux-based,Linux-based,Git,Command-line,,,,,Microsoft Teams;Slack;Zoom,Microsoft Teams,Unfavorable,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,Yes,People manager,5.0,Strongly agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,1-2 times a week,3-5 times a week,1-2 times a week,Less than 15 minutes a day,60-120 minutes a day,Somewhat long,DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Easy,43724.0
19738,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Freelance/contract work;School or academic work,"Other doctoral degree (Ph.D., Ed.D., etc.)","School (i.e., University, College, etc)",,,17,7,Data scientist or machine learning specialist,"10,000 or more employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Italy,EUR European Euro,52000.0,Yearly,Bash/Shell;C;C++;Julia;Perl;Python;R;SQL,Bash/Shell;C++;Julia;Perl;Python;R;Rust;SQL,PostgreSQL;Redis;SQLite,MongoDB;PostgreSQL;Redis;SQLite,AWS,AWS;Microsoft Azure,FastAPI;Node.js,FastAPI,Apache Kafka;Hadoop;NumPy;Pandas;Scikit-learn;Tidyverse;TensorFlow;Torch/PyTorch,Apache Kafka;Apache Spark;NumPy;Pandas;Scikit-learn;Torch/PyTorch,Docker;Homebrew;Kubernetes,Docker;Homebrew;Kubernetes,IPython/Jupyter;PyCharm;Vim;Visual Studio Code,IPython/Jupyter;PyCharm;Vim;Visual Studio Code,Linux-based;macOS,Linux-based;macOS,Git,Command-line,,,Confluence;Trello,Confluence;Trello,Microsoft Teams,Slack,Very unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,Yes,Independent contributor,7.0,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,6-10 times a week,6-10 times a week,6-10 times a week,60-120 minutes a day,30-60 minutes a day,Somewhat short,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,Yes,Yes,Yes,Appropriate in length,Easy,55455.0
19772,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Full in-person,Hobby,"Other doctoral degree (Ph.D., Ed.D., etc.)",Books / Physical media,,,30,20,Data scientist or machine learning specialist;Cloud infrastructure engineer;System administrator,"5,000 to 9,999 employees",I have some influence,Ask developers I know/work with,Belgium,EUR European Euro,4000.0,Monthly,Bash/Shell;MATLAB;Python;R,Bash/Shell;Python,Elasticsearch;MongoDB;MySQL;SQLite,Elasticsearch;MongoDB;MySQL;SQLite,OpenStack,OpenStack,,,Keras;NumPy;Pandas;TensorFlow,Keras;NumPy;Pandas;TensorFlow,Ansible;Homebrew,Ansible;Homebrew,IPython/Jupyter;Vim;Visual Studio,IPython/Jupyter;Vim;Visual Studio,macOS,macOS,Git,Command-line,,,,,Cisco Webex Teams;Slack;Zoom,Slack;Zoom,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,51192.0
19893,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time;Independent contractor, freelancer, or self-employed",Full in-person,Hobby;Contribute to open-source projects;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;School (i.e., University, College, etc);On the job training;Online Courses or Certification",,Udemy;Pluralsight;Other,18,18,"Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Engineering manager;DevOps specialist;Cloud infrastructure engineer","10,000 or more employees",I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,India,INR	Indian rupee,6000000.0,Yearly,C#;F#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA,C#;F#;HTML/CSS;JavaScript;Kotlin;Python;R;SQL;TypeScript,Microsoft SQL Server;MongoDB;MySQL;Redis;SQLite,CouchDB;Microsoft SQL Server;MongoDB;Redis;SQLite,Google Cloud;Microsoft Azure,AWS;Google Cloud;Microsoft Azure,Angular;Angular.js;ASP.NET;ASP.NET Core ;Blazor;Express;jQuery;Node.js;React.js,Angular;ASP.NET;ASP.NET Core ;Node.js;React.js,.NET;React Native;Xamarin,.NET;Apache Kafka;React Native,Ansible;Docker;Kubernetes;npm;Puppet,Ansible;Chef;Docker;Kubernetes;npm;Puppet;Terraform,Eclipse;IPython/Jupyter;Notepad++;Visual Studio;Visual Studio Code,IPython/Jupyter;Notepad++;RStudio;Visual Studio;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Git;Mercurial;SVN,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Confluence;Jira Work Management,Confluence;Jira Work Management,Google Chat;Microsoft Teams;RingCentral;Slack;Zoom,Google Chat;Microsoft Teams;RingCentral;Slack;Zoom,Favorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",45-54 years old,Man,No,Prefer not to say,Indian;Asian,None of the above,None of the above,Yes,Independent contributor,18.0,Agree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,1-2 times a week,10+ times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Just right,Innersource initiative;DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,Yes,Appropriate in length,Easy,77383.0
